idsiad,nom_del_centre,tipus_de_via,adre_a,codi_postal,poblaci,comarca,demarcaci,cerca,tel_fon,correu_electr_nic,tipus,titularitat,latitud,longitud,geocoded_column,:@computed_region_bh64_c7uy,:@computed_region_wvic_k925
55,Servei d'informació i atenció a les dones (SIAD) de l'Alt Urgell,Plaça,"de Soldevila, 1, 1a (Centre Cívic del Passeig)",25700,La Seu d'Urgell,Alt Urgell,Alt Pirineu i Aran,Alt Urgell,973354102,igualtat@capau.cat,SIAD,Consell Comarcal de l'Alt Urgell,42.35821,1.46148,"{'type': 'Point', 'coordinates': [1.46148, 42.35821]}",387,5
91,Servei d'informació i atenció a les dones (SIAD) de Santa Coloma de Gramenet,Passeig,"de Llorenç Serra, 64",8921,Santa Coloma de Gramenet,Barcelonès,Metropolità,Barcelonès,934661411,cird@gramenet.cat,SIAD,Ajuntament de Santa Coloma de Gramenet,41.45377,2.2055,"{'type': 'Point', 'coordinates': [2.2055, 41.45377]}",916,29
116,Servei d'informació i atenció a les dones (SIAD) del Pallars Sobirà,Carrer,"del Mig, 9",25560,Sort,Pallars Sobirà,Alt Pirineu i Aran,Pallars Sobirà,973620107,siad@pallarssobira.cat,SIAD,Consell Comarcal del Pallars Sobirà,42.41179,1.13031,"{'type': 'Point', 'coordinates': [1.13031, 42.41179]}",334,2
86,Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Llobregat,Plaça,"Lluís Companys, 1",8980,Sant Feliu de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,936858002,pazsm@santfeliu.cat,SIAD,Ajuntament de Sant Feliu de Llobregat,41.37066,2.05612,"{'type': 'Point', 'coordinates': [2.05612, 41.37066]}",669,31
81,Servei d'informació i atenció a les dones (SIAD) de Sant Adrià del Besòs,Carrer,"Escoles, 10, baixos",8930,Sant Adrià de Besòs,Barcelonès,Metropolità,Barcelonès,934621121,ciod@sant-adria.net,SIAD,Ajuntament de Sant Adrià del Besòs,41.42998,2.22098,"{'type': 'Point', 'coordinates': [2.22098, 41.42998]}",841,29
8,Informació i atenció a les dones de Parets del Vallès,Avinguda,"Lluís Companys, núm. 19, 1r",8150,Parets del Vallès,Vallès Oriental,Metropolità,Vallès Oriental,935737979,serveis.socials@parets.cat,IAD,Ajuntament de Parets del Vallès,41.5725275,2.2292229,"{'type': 'Point', 'coordinates': [2.2292229, 41.5725275]}",695,22
45,Servei d'informació i atenció a les dones (SIAD) de la Conca de Barberà,Carrer,"Sant Josep, 18",43400,Montblanc,Conca de Barberà,Camp de Tarragona,Conca de Barberà,977861232,siad@concadebarbera.cat,SIAD,Consell Comarcal de la Conca de Barberà,41.37703,1.16283,"{'type': 'Point', 'coordinates': [1.16283, 41.37703]}",783,28
102,Servei d'informació i atenció a les dones (SIAD) del Bages,Muralla,"Sant Domènec, 24",8241,Manresa,Bages,Comarques Centrals,Bages,936930363,dona@ccbages.cat,SIAD,Consell Comarcal del Bages,182187,1.82187,"{'type': 'Point', 'coordinates': [1.82187, 182187]}",,
107,Servei d'informació i atenció a les dones (SIAD) del Baix Penedès,Plaça,"Andreu Nin, 1-3",43700,El Vendrell,Baix Penedès,Penedès,Baix Penedès,977157177,siad@baixpenedes.cat,SIAD,Consell Comarcal del Baix Penedès,41.22292,1.53482,"{'type': 'Point', 'coordinates': [1.53482, 41.22292]}",456,33
147,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Baix Llobregat - Sant Feliu de Llobregat,Carrer,Joana Raspall 38-40,8980,Sant Feliu de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,930000521,bustia.siebllsantfeliu@gencat.cat,SIE,Generalitat de Catalunya,41.3771066,2.0452097,"{'type': 'Point', 'coordinates': [2.0452097, 41.3771066]}",844,31
96,Servei d'informació i atenció a les dones (SIAD) de Tortosa,Plaça,"dels Dolors, 1",43500,Tortosa,Baix Ebre,Terres de l'Ebre,Baix Ebre,977445897,siad.coordinacio@tortosa.cat,SIAD,Ajuntament de Tortosa,40.81321,0.52362,"{'type': 'Point', 'coordinates': [0.52362, 40.81321]}",211,40
72,Servei d'informació i atenció a les dones (SIAD) de Palafrugell,Carrer,"Pals, 77",17200,Palafrugell,Baix Empordà,Comarques Gironines,Baix Empordà,972611879,espaidona@palafrugell.net,SIAD,Ajuntament de Palafrugell,41.92097,3.16241,"{'type': 'Point', 'coordinates': [3.16241, 41.92097]}",588,16
111,Servei d'informació i atenció a les dones (SIAD) del Maresme,Plaça,"Miquel Biada, 1",8301,Mataró,Maresme,Metropolità,Maresme,937411622,siadmaresme@ccmaresme.cat,SIAD,Consell Comarcal del Maresme,41.53797,2.43819,"{'type': 'Point', 'coordinates': [2.43819, 41.53797]}",701,25
134,Servei d'Intervenció Especialitzada en violència masclista (SIE) Anoia - Igualada,Carrer,"Milà i Fontanals, 1- C",8700,Igualada,Anoia,Penedès,Anoia,938048265,bustia.sieccigualada@gencat.cat,SIE,Generalitat de Catalunya,41.5819567,1.6085818,"{'type': 'Point', 'coordinates': [1.6085818, 41.5819567]}",595,24
143,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Lleida,Rambla,"de Ferran, 43, baixos",25007,Lleida,Segrià,Ponent,Segrià,973246507,bustia.sielleida@gencat.cat,SIE,Generalitat de Catalunya,41.6192405,0.6290063,"{'type': 'Point', 'coordinates': [0.6290063, 41.6192405]}",875,21
4,Informació i atenció a les dones de la Llagosta,Carrer,"Jaume I, núm. 9",8120,La Llagosta,Vallès Oriental,Metropolità,Vallès Oriental,935451540,llgt.igualtat@llagosta.cat,IAD,Ajuntament de la Llagosta,41.5125963,2.1891866,"{'type': 'Point', 'coordinates': [2.1891866, 41.5125963]}",936,26
85,Servei d'informació i atenció a les dones (SIAD) de Sant Feliu de Guíxols,Plaça,"Salvador Espriu, s/n",17220,Sant Feliu de Guíxols,Baix Empordà,Comarques Gironines,Baix Empordà,972820101,igualtat@guixols.cat,SIAD,Ajuntament de Sant Feliu de Guíxols,41.7921,3.02467,"{'type': 'Point', 'coordinates': [3.02467, 41.7921]}",852,16
41,Servei d'informació i atenció a les dones (SIAD) de Gavà,Carrer,"Generalitat, 7",8850,Gavà,Baix Llobregat,Metropolità,Baix Llobregat,932639222,siad@gava.cat,SIAD,Ajuntament de Gavà,41.30328,2.00458,"{'type': 'Point', 'coordinates': [2.00458, 41.30328]}",559,31
115,Servei d'informació i atenció a les dones (SIAD) del Pallars Jussà,Carrer,"de Soldevila, 18",25620,Tremp,Pallars Jussà,Alt Pirineu i Aran,Pallars Jussà,973650187,siad@pallarsjussa.cat,SIAD,Consell Comarcal del Pallars Jussà,42.16636,0.89478,"{'type': 'Point', 'coordinates': [0.89478, 42.16636]}",305,9
126,Servei d'informació i atenció a les dones (SIAD) del Vallès Oriental,Carrer,"Miquel Ricomà, 46",8401,Granollers,Vallès Oriental,Metropolità,Vallès Oriental,938600706,psi@vallesoriental.cat,SIAD,Consell Comarcal del Vallès Oriental,41.60603,2.2862,"{'type': 'Point', 'coordinates': [2.2862, 41.60603]}",560,22
151,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Vallès Occidental - Terrassa,Carrer,"Cremat, 24, 3r 1a",8221,Terrassa,Vallès Occidental,Metropolità,Vallès Occidental,931190693,bustia.sievoccterrassa@gencat.cat,SIE,Generalitat de Catalunya,41.5626168,2.0082449,"{'type': 'Point', 'coordinates': [2.0082449, 41.5626168]}",862,26
54,Servei d'informació i atenció a les dones (SIAD) de l'Alt Penedès,Carrer,"Hermenegild Clascar, núm. 1-3",8720,Vilafranca del Penedès,Alt Penedès,Penedès,Alt Penedès,938900000,ssocials@ccapenedes.cat,SIAD,Consell Comarcal de l'Alt Penedès,41.34598,1.69626,"{'type': 'Point', 'coordinates': [1.69626, 41.34598]}",940,32
69,Servei d'informació i atenció a les dones (SIAD) de Molins de Rei,Carrer,"Verdaguer, 95, bis (Ca n'Ametller)",8750,Molins de Rei,Baix Llobregat,Metropolità,Baix Llobregat,936803731,eplu@molinsderei.cat,SIAD,Ajuntament de Molins de Rei,41.41518,2.01577,"{'type': 'Point', 'coordinates': [2.01577, 41.41518]}",723,31
27,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sant Martí,Gran Via,"Corts Catalanes, 837",8018,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_santmarti@bcn.cat,PIAD,Ajuntament de Barcelona,41.4052293,2.1860195,"{'type': 'Point', 'coordinates': [2.1860195, 41.4052293]}",512,29
157,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Tarragona,Avinguda,"Catalunya, 56",43002,Tarragona,Tarragonès,Camp de Tarragona,Tarragonès,977920406,bustia.sietarragona@gencat.cat,SIE,Generalitat de Catalunya,40.8153996,0.5166096,"{'type': 'Point', 'coordinates': [0.5166096, 40.8153996]}",211,40
100,Servei d'informació i atenció a les dones (SIAD) de Vilanova i la Geltrú,Plaça,"de la Vila, 8",8800,Vilanova i la Geltrú,Garraf,Penedès,Garraf,938169002,equitat@vilanova.cat,SIAD,Ajuntament de Vilanova i la Geltrú,41.22408,1.72594,"{'type': 'Point', 'coordinates': [1.72594, 41.22408]}",412,34
56,Servei d'informació i atenció a les dones (SIAD) de l'Alta Ribagorça,Carrer,"d'Aigüestortes, 12, baixos",25520,El Pont de Suert,Alta Ribagorça,Alt Pirineu i Aran,Alta Ribagorça,973690260,dones@ccar.ddl.net,SIAD,Consell Comarcal de l'Alta Ribagorça,42.4123,0.74075,"{'type': 'Point', 'coordinates': [0.74075, 42.4123]}",300,3
73,Servei d'informació i atenció a les dones (SIAD) de Pineda de Mar,Carrer,"Riera, 31",8397,Pineda de Mar,Maresme,Metropolità,Maresme,937671560 ext 6,siad@pinedademar.org,SIAD,Ajuntament de Pineda de Mar,41.624,2.68823,"{'type': 'Point', 'coordinates': [2.68823, 41.624]}",883,25
25,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Nou Barris,Plaça,"Major de Nou Barris, 1",8042,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_noubarris@bcn.cat,PIAD,Ajuntament de Barcelona,41.43692,2.1712,"{'type': 'Point', 'coordinates': [2.1712, 41.43692]}",512,29
130,Servei d'informació i atenció a les dones (SIAD) d'Igualada,Avinguda,"de la Pietat, 42-44 (Centre Cívic Fàtima dimarts de 10 a 12h)Trinitat, núm. 12 (dimarts 15:30 a 17:30h)",8700,Igualada,Anoia,Penedès,Anoia,636365631,siad@micod.cat,SIAD,Ajuntament d'Igualada,41.58597,1.60502,"{'type': 'Point', 'coordinates': [1.60502, 41.58597]}",595,24
37,Servei d'informació i atenció a les dones (SIAD) de Castelldefels,Carrer,"Església, 117 baixos",8860,Castelldefels,Baix Llobregat,Metropolità,Baix Llobregat,936651150 ext 504,igualtat@castelldefels.org,SIAD,Ajuntament de Castelldefels,41.28762,1.98504,"{'type': 'Point', 'coordinates': [1.98504, 41.28762]}",539,31
20,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Ciutat Vella,Carrer,"Nou de la Rambla, 45, 4t",8001,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_ciutatvella@bcn.cat,PIAD,Ajuntament de Barcelona,41.3774306,2.170603,"{'type': 'Point', 'coordinates': [2.170603, 41.3774306]}",512,29
78,Servei d'informació i atenció a les dones (SIAD) de Rubí,Rambleta,"Joan Miró, s/n",8191,Rubí,Vallès Occidental,Metropolità,Vallès Occidental,935813900,siadrubi@ajrubi.es,SIAD,Ajuntament de Rubí,41.48573,2.03048,"{'type': 'Point', 'coordinates': [2.03048, 41.48573]}",908,26
153,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Raval,Carrer,"de la Lluna, 3",8001,Barcelona,Barcelonès,Metropolità,Barcelona,936398589,bustia.sieraval@gencat.cat,SIE,Generalitat de Catalunya,41.380854,2.16399,"{'type': 'Point', 'coordinates': [2.16399, 41.380854]}",512,29
49,Servei d'informació i atenció a les dones (SIAD) de la Segarra,Passeig,"de Jaume Balmes, 3",25200,Cervera,Segarra,Ponent,Segarra,973531300,siad@ccsegarra.cat,SIAD,Consell Comarcal de la Segarra,41.67107,1.27507,"{'type': 'Point', 'coordinates': [1.27507, 41.67107]}",900,19
103,Servei d'informació i atenció a les dones (SIAD) del Baix Camp,Carrer,"Doctor Ferran, 8",43202,Reus,Baix Camp,Camp de Tarragona,Baix Camp,977327155,siad@baixcamp.cat,SIAD,Consell Comarcal del Baix Camp,41.15444,1.10132,"{'type': 'Point', 'coordinates': [1.10132, 41.15444]}",421,39
92,Servei d'informació i atenció a les dones (SIAD) de Santa Perpètua de la Mogoda,Carrer,"Pablo Picasso, núm. 32",8130,Santa Perpètua de Mogoda,Vallès Occidental,Metropolità,Vallès Occidental,650918166,igualtat@santaperpetua.cat  - estebanso@santaperpetua.cat,SIAD,Ajuntament de Santa Perpètua de la Mogoda,41.53231,2.18532,"{'type': 'Point', 'coordinates': [2.18532, 41.53231]}",682,26
108,Servei d'informació i atenció a les dones (SIAD) del Berguedà,Carrer,"Barcelona, núm. 49, 3è",8600,Berga,Berguedà,Comarques Centrals,Berguedà,938213553,siad@ccbergueda.cat,SIAD,Consell Comarcal del Berguedà,42.10439,1.84699,"{'type': 'Point', 'coordinates': [1.84699, 42.10439]}",73,8
46,Servei d'informació i atenció a les dones (SIAD) de la Garrotxa,Plaça,"Palau, 8",17800,Olot,Garrotxa,Comarques Gironines,Garrotxa,972266644,nsantayana@casg.cat,SIAD,Consorci Acció Social de la Garrotxa,42.1830687,2.4935045,"{'type': 'Point', 'coordinates': [2.4935045, 42.1830687]}",294,10
32,Servei d'informació i atenció a les dones (SIAD) de Barberà del Vallès,Carrer,"Nemesií Valls, núm. 35, 2n pis",8210,Barberà del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,937297171 ext 273,siad@bdv.cat,SIAD,Ajuntament de Barberà del Vallès,41.55746,2.1562,"{'type': 'Point', 'coordinates': [2.1562, 41.55746]}",764,26
61,Servei d'informació i atenció a les dones (SIAD) de L'Hospitalet de Llobregat,Plaça,"Can Colom, 1",8902,L'Hospitalet de Llobregat,Barcelonès,Metropolità,Barcelonès,934036270,caid@l-h.cat,SIAD,Ajuntament de L'Hospitalet de Llobregat,41.36947,2.12043,"{'type': 'Point', 'coordinates': [2.12043, 41.36947]}",117,29
117,Servei d'informació i atenció a les dones (SIAD) del Pla de l'Estany,Carrer,"Pere Alsius, 12, 1r",17820,Banyoles,Pla de l'Estany,Comarques Gironines,Pla de l'Estany,972580388,siad@plaestany.cat,SIAD,Consell Comarcal del Pla de l'Estany,42.11604,2.76381,"{'type': 'Point', 'coordinates': [2.76381, 42.11604]}",57,11
146,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Baix Llobregat - Sant Boi de Llobregat,Carrer,"Francesc Macià, 99-101 local.",8830,Sant Boi de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,931357172,bustia.siebllsantboi@gencat.cat,SIE,Generalitat de Catalunya,41.3391419,2.0421252,"{'type': 'Point', 'coordinates': [2.0421252, 41.3391419]}",496,31
133,Servei d'informació i atenció a les dones (SIAD) d'Amposta,Travessia,"Sant Isidre, 4",43870,Amposta,Montsià,Terres de l'Ebre,Montsià,636385285  /  977702549,apalacios@amposta.cat,SIAD,Ajuntament d'Amposta,40.71257,0.58284,"{'type': 'Point', 'coordinates': [0.58284, 40.71257]}",227,41
9,Informació i atenció a les dones de Sant Sadurní d'Anoia,Plaça,"Germans Segura Viudas, s/n (Centre Vilarnau)",8770,Sant Sadurní d'Anoia,Alt Penedès,Penedès,Alt Penedès,938913029,centrevilarnau@santsadurni.cat,IAD,Ajuntament de Sant Sadurní d'Anoia,41.4333222,1.7804161,"{'type': 'Point', 'coordinates': [1.7804161, 41.4333222]}",918,32
155,Servei d'informació i atenció a les dones (SIAD) de Salt,Carrer,"Àngel Guimerà, 106-108",17190,Salt,Gironès,Comarques Gironines,Gironès,972 23 51 05,siad@cbs.cat,SIAD,Ajuntament de Salt,41.9749,2.7928,"{'type': 'Point', 'coordinates': [2.7928, 41.9749]}",23,14
122,Servei d'informació i atenció a les dones (SIAD) del Segrià,Carrer,"del Canyeret, s/n",25007,Lleida,Segrià,Ponent,Segrià,973054800,siad@segria.cat,SIAD,Consell Comarcal del Segrià,41.61637,0.62704,"{'type': 'Point', 'coordinates': [0.62704, 41.61637]}",875,21
64,Servei d'informació i atenció a les dones (SIAD) de l'Urgell,Carrer,"d'Agoders, 16",25300,Tàrrega,Urgell,Ponent,Urgell,973500707,siad@urgell.cat,SIAD,Consell Comarcal de l'Urgell,41.64676,1.14045,"{'type': 'Point', 'coordinates': [1.14045, 41.64676]}",880,17
87,Servei d'informació i atenció a les dones (SIAD) de Sant Joan Despí,Avinguda,"Barcelona, 41",8970,Sant Joan Despí,Baix Llobregat,Metropolità,Baix Llobregat,934770051,donesdespi@sjdespi.net,SIAD,Ajuntament de Sant Joan Despí,41.36841,2.06304,"{'type': 'Point', 'coordinates': [2.06304, 41.36841]}",669,31
42,Servei d'informació i atenció a les dones (SIAD) de Girona,Carrer,"Joan Reglà, 16, baixos",17003,Girona,Gironès,Comarques Gironines,Gironès,972222478,siad@ajgirona.cat,SIAD,Ajuntament de Girona,41.97125,2.8229,"{'type': 'Point', 'coordinates': [2.8229, 41.97125]}",133,14
152,Servei d'Intervenció Especialitzada en violència masclista (SIE) del Vallès Oriental,Plaça,"de la Corona, 6, 3r",8401,Granollers,Vallès Oriental,Metropolità,Vallès Oriental,935851223,bustia.sievallesoriental@gencat.cat,SIE,Generalitat de Catalunya,41.6057643,2.285726,"{'type': 'Point', 'coordinates': [2.285726, 41.6057643]}",560,22
36,Servei d'informació i atenció a les dones (SIAD) de Castellar del Vallès,Plaça,"Major, s/n (Edifici Mirador)",8211,Castellar del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,937144040,eminguell@castellarvalles.cat,SIAD,Ajuntament de Castellar del Vallès,41.61636,2.08624,"{'type': 'Point', 'coordinates': [2.08624, 41.61636]}",799,26
57,Servei d'informació i atenció a les dones (SIAD) de l'Anoia,Plaça,"de Sant Miquel, 5",8700,Igualada,Anoia,Penedès,Anoia,636365631 - 938051585,igualtat@anoia.cat,SIAD,Consell Comarcal de l'Anoia,41.57801,1.61784,"{'type': 'Point', 'coordinates': [1.61784, 41.57801]}",595,24
28,Punt d'informació i atenció a les dones (PIAD) de Barcelona - Sants-Montjuïc,Pas,"Fructuós Gelabert, 2",8014,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_santsmontjuic@bcn.cat,PIAD,Ajuntament de Barcelona,41.375292,2.1343718,"{'type': 'Point', 'coordinates': [2.1343718, 41.375292]}",512,29
110,Servei d'informació i atenció a les dones (SIAD) del Gironès - Salt,Carrer,"Àngel Guimerà, 106-108",17190,Salt,Gironès,Comarques Gironines,Gironès,972201962,siad@cbs.cat,SIAD,Consell Comarcal del Gironès,41.9736859,2.7858098,"{'type': 'Point', 'coordinates': [2.7858098, 41.9736859]}",23,14
5,Informació i atenció a les dones de Lliçà d'Amunt,Carrer,"Rafael de Casanova, 8, 1r",8186,Lliça d'Amunt,Vallès Oriental,Metropolità,Vallès Oriental,938607220,suarezvm@llicamunt.cat,IAD,Ajuntament de Lliça d'Amunt,41.6074649,2.2380275,"{'type': 'Point', 'coordinates': [2.2380275, 41.6074649]}",934,22
129,Servei d'informació i atenció a les dones (SIAD) d'Esplugues de Llobregat,Carrer,"Sant Francesc Xavier, 1",8950,Esplugues de Llobregat,Baix Llobregat,Metropolità,Baix Llobregat,933713350,cmanzanal@esplugues.cat -  dones@esplugues.cat,SIAD,Ajuntament d'Esplugues de Llobregat,41.3746,2.08533,"{'type': 'Point', 'coordinates': [2.08533, 41.3746]}",830,31
144,Servei d'Intervenció Especialitzada en violència masclista (SIE) de Mataró - Maresme,Carrer,"Churruca, 88",8301,Mataró,Maresme,Metropolità,Maresme,937961300,bustia.siemataromaresme@gencat.cat,SIE,Generalitat de Catalunya,41.5338914,2.4424547,"{'type': 'Point', 'coordinates': [2.4424547, 41.5338914]}",701,25
84,Servei d'informació i atenció a les dones (SIAD) de Sant Cugat del Vallès,Avinguda,"de Gràcia, 50 (Casa Mònaco)",8172,Sant Cugat del Vallès,Vallès Occidental,Metropolità,Vallès Occidental,935657000,siad@santcugat.cat,SIAD,Ajuntament de Sant Cugat del Vallès,41.46468,2.086,"{'type': 'Point', 'coordinates': [2.086, 41.46468]}",937,26
99,Servei d'informació i atenció a les dones (SIAD) de Vilafranca del Penedès,Plaça,"Penedès, 3, 2n pis",8720,Vilafranca del Penedès,Alt Penedès,Penedès,Alt Penedès,938903218,siad@vilafranca.org,SIAD,Ajuntament de Vilafranca del Penedès,41.34404,1.69945,"{'type': 'Point', 'coordinates': [1.69945, 41.34404]}",940,32
135,Servei d'Intervenció Especialitzada en violència masclista (SIE) de la Catalunya Central - Manresa,Carrer,"Muralla del Carme, 22-24",8241,Manresa,Bages,Comarques Centrals,Bages,93 628 98 91,bustia.sieccmanresa@gencat.cat,SIE,Generalitat de Catalunya,41.7253315,1.8248153,"{'type': 'Point', 'coordinates': [1.8248153, 41.7253315]}",877,18
53,Servei d'informació i atenció a les dones (SIAD) de l'Alt Empordà,Carrer,"Nou, 48",17600,Figueres,Alt Empordà,Comarques Gironines,Alt Empordà,972677050,siad@altemporda.cat,SIAD,Consell Comarcal de l'Alt Empordà,42.26484,2.96358,"{'type': 'Point', 'coordinates': [2.96358, 42.26484]}",191,6
24,Punt d'informació i atenció a les dones (PIAD) de Barcelona - les Corts,Plaça,"Comes, 18",8028,Barcelona,Barcelonès,Metropolità,Barcelonès,936197311,piad_lescorts@bcn.cat,PIAD,Ajuntament de Barcelona,42.0862024,2.29845596895252,"{'type': 'Point', 'coordinates': [2.29845596895252, 42.0862024]}",80,13
74,Servei d'informació i atenció a les dones (SIAD) de Premià de Mar,Carrer,"Joan XXIII, 2-8 (antiga Fàbrica del Gas)",8330,Premià de Mar,Maresme,Metropolità,Maresme,937417404,igualtat@premiademar.cat,SIAD,Ajuntament de Premià de Mar,41.48842,2.35276,"{'type': 'Point', 'coordinates': [2.35276, 41.48842]}",528,25
68,Servei d'informació i atenció a les dones (SIAD) de Mataró,Carrer,"Cosme  Churruca, núm. 88, baixos (entrada per Passatge dels Telers)",8301,Mataró,Maresme,Metropolità,Maresme,937022812,cird@ajmataro.cat - siad@ajmataro.cat,SIAD,Ajuntament de Mataró,41.54332,2.42807,"{'type': 'Point', 'coordinates': [2.42807, 41.54332]}",701,25
95,Servei d'informació i atenció a les dones (SIAD) de Terrassa,Carrer,"Nou de Sant Pere, 36",8221,Terrassa,Vallès Occidental,Metropolità,Vallès Occidental,937397408,polgenere@terrassa.cat,SIAD,Ajuntament de Terrassa,41.56537,2.01374,"{'type': 'Point', 'coordinates': [2.01374, 41.56537]}",862,26
114,Servei d'informació i atenció a les dones (SIAD) del Montsià,Carrer,"Jaume I, 2-4",43870,Amposta,Montsià,Terres de l'Ebre,Montsià,977707496,siad@montsia.cat,SIAD,Consell Comarcal del Montsià,40.71257,0.58284,"{'type': 'Point', 'coordinates': [0.58284, 40.71257]}",227,41
125,Servei d'informació i atenció a les dones (SIAD) del Vallès Occidental,Carretera,"Nacional - 150, km. 15 (Edifici Consell Comarcal)",8227,Terrassa,Vallès Occidental,Metropolità,Vallès Occidental,662959880 / 937273534,cccvoc.genere@cvoc.cat,SIAD,Consell Comarcal del Vallès Occidental,41.55396,2.05352,"{'type': 'Point', 'coordinates': [2.05352, 41.55396]}",862,26
88,Servei d'informació i atenció a les dones (SIAD) de Sant Pere de Ribes,Plaça,"Major, 110 a Ribesde la Vinya d'en Petaca, s/n. A- a Les Roquetes",8810,Sant Pere de Ribes,Garraf,Penedès,Garraf,938967300,torralbare@santperederibes.cat,SIAD,Ajuntament de Sant Pere de Ribes,41.2266,1.74818,"{'type': 'Point', 'coordinates': [1.74818, 41.2266]}",541,34
104,Servei d'informació i atenció a les dones (SIAD) del Baix Ebre,Carrer,"Barcelona, 152",43500,Tortosa,Baix Ebre,Terres de l'Ebre,Baix Ebre,977445308,siad@baixebre.cat,SIAD,Consell Comarcal del Baix Ebre,40.7949,0.52375,"{'type': 'Point', 'coordinates': [0.52375, 40.7949]}",211,40
